dataset,config,seed,loss,rmse,nrmse,mae,mse,elapsed_s
lipo,fusion-concat,2026,0.377419686175528,0.741200805112316,0.6142535010219046,0.5561712980270386,0.5493786334991455,62.62301516532898
lipo,fusion-concat,2027,0.39054204864161357,0.7539759786508097,0.6248406388367279,0.557831883430481,0.5684797763824463,68.05284690856934
lipo,fusion-concat,mean+/-std(n=3),0.385526+/-0.005786,0.749097+/-0.005635,0.620797+/-0.004670,0.557239+/-0.000756,0.561178+/-0.008422,179.3
lipo,fusion-xattn,2025,0.6508893180461157,0.9733682500659816,0.8066570506436422,0.7386594414710999,0.9474457502365112,25.410712242126465
lipo,fusion-xattn,2026,0.599630263873509,0.9342548790718297,0.774242723912999,0.6917281150817871,0.872832179069519,28.995309591293335
lipo,fusion-xattn,2027,0.6055617114617711,0.9388642874685422,0.7780626674772688,0.714311957359314,0.8814661502838135,33.517504930496216
lipo,fusion-xattn,mean+/-std(n=3),0.618694+/-0.022894,0.948829+/-0.017454,0.786321+/-0.014464,0.714900+/-0.019164,0.900581+/-0.033325,87.9
lipo,fusion-moe,2025,0.37507052889892034,0.7388905024650311,0.6123388896511035,0.5468772053718567,0.5459591746330261,64.46586275100708
lipo,fusion-moe,2026,0.39114401312101454,0.754556800155326,0.6253219815985775,0.5636075735092163,0.5693559646606445,64.7717559337616
lipo,fusion-moe,2027,0.3977698898031598,0.760921001842954,0.6305961706454212,0.5644145607948303,0.5790007710456848,58.2666699886322
lipo,fusion-moe,mean+/-std(n=3),0.387995+/-0.009531,0.751456+/-0.009257,0.622752+/-0.007672,0.558300+/-0.008084,0.564772+/-0.013873,187.5
lipo,ensemble,2025,0.546566903591156,0.739301632347147,0.6126796042964769,0.5484423041343689,0.546566903591156,
lipo,ensemble-avg,2025,0.5712543725967407,0.7558137155389155,0.6263636219604511,0.5502071976661682,0.5712543725967407,
lipo,ensemble,2026,0.540694534778595,0.7353193420403104,0.6093793707481752,0.5477687120437622,0.540694534778595,
lipo,ensemble-avg,2026,0.555791974067688,0.7455145699902102,0.6178284366676238,0.5481315851211548,0.555791974067688,
lipo,ensemble,2027,0.5416181087493896,0.7359470828458997,0.6098995968257888,0.5436609983444214,0.5416181087493896,
lipo,ensemble-avg,2027,0.5626423954963684,0.7500949243238274,0.6216243023303963,0.550193727016449,0.5626423954963684,
lipo,ensemble-all,all,0.5883257985115051,0.7670239882242961,0.6356538833807174,0.5811726450920105,0.5883257985115051,
lipo,ensemble,mean+/-std(n=3),0.542960+/-0.002578,0.736856+/-0.001748,0.610653+/-0.001449,0.546624+/-0.002113,0.542960+/-0.002578,0.0
lipo,ensemble-avg,mean+/-std(n=3),0.563230+/-0.006326,0.750474+/-0.004213,0.621939+/-0.003492,0.549511+/-0.000975,0.563230+/-0.006326,0.0
lipo,ensemble-all,mean+/-std(n=1),0.588326+/-0.000000,0.767024+/-0.000000,0.635654+/-0.000000,0.581173+/-0.000000,0.588326+/-0.000000,0.0
