dataset,config,seed,loss,rmse,nrmse,mae,mse,elapsed_s
lipo,graph+lang,2027,0.5853696987742469,0.9265240292981682,0.15442067154969472,0.7141169905662537,0.8584467768669128,165.1019525527954
lipo,graph+lang,mean+/-std(n=3),0.585477+/-0.017267,0.926508+/-0.013665,0.154418+/-0.002277,0.719439+/-0.020891,0.858604+/-0.025321,355.3
lipo,graph+lang+pretrain,2025,0.445400694722221,0.80819659223539,0.13469943203923165,0.6032767295837402,0.6531817317008972,118.87860202789307
lipo,graph+lang+pretrain,2026,0.4296191936447507,0.7937493827396906,0.13229156378994844,0.6026564240455627,0.6300380825996399,133.02822518348694
lipo,graph+lang+pretrain,2027,0.44921970878328593,0.8116540539745258,0.13527567566242096,0.6088128089904785,0.6587823033332825,155.0777087211609
lipo,graph+lang+pretrain,mean+/-std(n=3),0.441413+/-0.008484,0.804533+/-0.007755,0.134089+/-0.001292,0.604915+/-0.002768,0.647334+/-0.012442,407.0
lipo,ecfp4-mlp,2025,0.48447438733918324,0.8429017571529058,0.14048362619215096,0.64445561170578,0.7104833722114563,22.765217065811157
lipo,ecfp4-mlp,2026,0.47324457395644415,0.8330755709317371,0.13884592848862284,0.6393535733222961,0.6940149068832397,25.95821213722229
lipo,ecfp4-mlp,2027,0.47987057197661626,0.8388873309913244,0.13981455516522073,0.6396623849868774,0.7037319540977478,48.73389267921448
lipo,ecfp4-mlp,mean+/-std(n=3),0.479197+/-0.004609,0.838288+/-0.004034,0.139715+/-0.000672,0.641157+/-0.002336,0.702743+/-0.006759,97.5
